shots,precision,recall,fscore,accuracy,test_size
10,0.6645506792058515,0.7057997673949643,0.6399703374119392,0.6462585034013606,147
15,0.7436139064187844,0.7722182360472152,0.7204456705640654,0.7278911564625851,147
30,0.7465045807380302,0.7650255349681341,0.7128347136844672,0.7210884353741497,147
50,0.7382574981211997,0.7620675586319448,0.7049997027854944,0.7142857142857143,147
70,0.7369364908434769,0.7654200490534008,0.7146993270374399,0.7210884353741497,147
90,0.7211502630056638,0.738129991511792,0.6888369068444574,0.7006802721088435,147
120,0.7484535150600515,0.7696547737962923,0.7162297559472233,0.7210884353741497,147
