shots,precision,recall,fscore,accuracy,test_size
10,0.4023070766768246,0.3212654874554188,0.35333333333333333,0.6530612244897959,196
15,0.48995098039215684,0.3692312449749521,0.419060293519648,0.6224489795918368,196
30,0.4280351420693473,0.3371291772321521,0.3747518923465097,0.673469387755102,196
50,0.41438318017265385,0.3224818067495413,0.3593100922646377,0.6428571428571429,196
70,0.3939475552726293,0.30963314573154394,0.34197999463241097,0.6326530612244898,196
90,0.4082756784148258,0.32653276846640694,0.3587374919009935,0.6683673469387755,196
120,0.39932724932724933,0.30491475457150513,0.34223003123605533,0.6122448979591837,196
150,0.41102814663582254,0.319502855258004,0.35774530747101885,0.6428571428571429,196
