shots,precision,recall,fscore,accuracy,test_size
10.0,0.1912612480415615,0.1586570965441626,0.1597458814562694,0.3471698113207547,265.0
15.0,0.20781847715238722,0.15008923576175134,0.16046398496949194,0.37358490566037733,265.0
30.0,0.2835481660549596,0.1721747877042261,0.20096598311473585,0.3886792452830189,265.0
50.0,0.25987879509551337,0.1934531098883629,0.21388484665287408,0.44528301886792454,265.0
70.0,0.3280768398268398,0.22890070293757964,0.25450683713502054,0.4867924528301887,265.0
90.0,0.36704514422256357,0.26364009113084846,0.28133828172724334,0.5471698113207547,265.0
120.0,0.43576834598573727,0.3212790485521515,0.32592315535417155,0.5358490566037736,265.0
