shots,precision,recall,fscore,accuracy,test_size
10,0.4014030573170358,0.2911199345625575,0.3303894249341337,0.58,150
15,0.41326691967109425,0.28739505583767877,0.33410575442112495,0.5533333333333333,150
30,0.5034206882404225,0.39988923349579086,0.44137227706616633,0.66,150
50,0.4142078681552366,0.3308623882394374,0.365021645021645,0.6533333333333333,150
70,0.41210394543727874,0.32519199527396253,0.3594119937694704,0.6533333333333333,150
90,0.41741758241758237,0.3237591311361803,0.36213172448466563,0.6466666666666666,150
120,0.40723837427691384,0.311884393851607,0.3495049585030568,0.62,150
150,0.4170198039381869,0.30704048941753864,0.348675433581094,0.62,150
